Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
Zimbabwe,5234875,17.6,20.4,14.7,31405
Honduras,5196072,26.6,32.8,20.4,46577
New Zealand,5045901,51.2,65.8,36.7,40461
Slovakia,4755737,43.6,44.8,41.2,5792
Qatar,4696753,84.0,84.4,79.4,4560
Oman,4636486,55.3,67.0,43.5,74904
Mongolia,4545348,68.9,68.3,64.5,16573
Paraguay,4488153,31.4,36.7,26.1,9811
Laos,4402770,30.7,39.1,26.7,9906
Tajikistan,3872421,20.8,24.8,16.8,70941
Mozambique,3644423,5.8,6.1,5.6,54234
Kenya,3613357,3.8,5.7,1.9,34110
Ethiopia,3535329,1.8,2.9,0.8,50101
Rwanda,3409470,13.7,16.4,11.6,17256
Croatia,3408049,41.9,44.4,41.6,5675
Belarus,3389520,17.9,19.8,16.0,26145
Lithuania,3339375,60.0,61.8,58.2,21363
Angola,3134137,5.2,7.1,3.3,44858
Afghanistan,3133227,4.2,2.6,1.2,765279
Lebanon,2929966,21.4,23.5,19.3,28922
Bahrain,2561756,86.3,78.4,74.9,3352
Bulgaria,2513769,18.1,17.3,18.9,6080
Kuwait,2380000,25.1,56.2,19.4,12990
Slovenia,2107230,52.0,54.0,47.9,6696
Uganda,2058553,2.6,4.1,1.0,90201
Ivory Coast,1968171,3.7,5.6,1.4,29585
Senegal,1784832,5.5,7.6,3.5,2395
Georgia,1749457,23.5,26.1,20.9,13488
Guinea,1699898,6.2,8.5,3.9,36444
Albania,1693555,29.5,32.5,26.5,6947
Sudan,1650828,1.9,1.5,1.3,21549
Ghana,1643172,2.7,2.9,2.5,6530
Mauritius,1633952,64.5,66.8,62.2,1155
Latvia,1616636,42.1,47.3,43.3,4355
Libya,1546967,11.8,20.7,2.5,11809
North Macedonia,1495762,36.0,37.6,34.3,6067
Kyrgyzstan,1411946,11.0,12.7,9.4,10432
Moldova,1388566,25.9,22.9,28.9,3566
Estonia,1359926,51.3,57.0,45.6,3577
Kosovo,1274156,35.4,42.8,28.0,15307
Cyprus,1146345,65.4,67.7,62.5,2315
Malawi,1087426,2.7,3.9,2.4,8588
Bhutan,1068414,71.7,77.1,66.3,3185
Bosnia and Herzegovina,1060145,16.1,19.2,12.9,7334
Trinidad and Tobago,1045498,37.5,41.5,34.3,3358
Togo,997632,6.2,7.4,4.8,23544
Fiji,975268,54.5,65.7,43.3,9017
Mauritania,890122,11.0,7.9,0.5,2501
Malta,816767,82.7,85.1,85.0,716
Nicaragua,788502,6.0,7.7,4.4,2155
Luxembourg,783832,63.8,67.5,65.1,512
Maldives,727664,97.8,105.3,90.3,756
Jamaica,715860,13.1,19.0,8.1,1506
Zambia,702462,1.9,1.8,2.1,6706
Timor-Leste,675891,26.1,32.8,19.4,4083
Macau,649564,47.8,51.2,44.6,4123
Niger,621853,1.3,1.7,0.4,9294
Botswana,606699,12.8,17.2,9.5,2729
Iceland,551110,77.2,78.8,77.2,985
Syria,533949,–,–,–,23498
Guyana,533843,34.0,44.8,23.2,3349
Somalia,464359,1.5,1.7,1.2,10602
Cameroon,461201,0.9,1.5,0.3,1267
Montenegro,450451,36.2,38.3,33.6,2039
Brunei,443676,48.2,58.7,37.8,5475
Madagascar,417648,0.8,0.7,0.7,5145
Cape Verde,414300,37.7,51.7,21.8,4083
Armenia,408535,6.9,8.9,4.8,5965
Namibia,407502,8.3,10.5,6.5,4761
Mali,405053,1.1,1.7,0.5,1290
Suriname,391985,32.8,37.6,28.0,2161
Tanzania,389807,0.3,–,–,5687
Equatorial Guinea,387510,14.2,16.4,12.1,2622
Comoros,336863,19.3,20.0,18.5,249
Lesotho,332954,8.1,12.2,11.7,6246
Republic of the Congo,329905,3.6,4.7,2.5,1525
Yemen,322934,0.5,1.0,0.1,244
Belize,304218,37.3,47.6,28.2,2894
Liberia,284246,3.1,2.3,0.6,9750
Burkina Faso,254545,0.6,1.2,0.8,8839
Eswatini,240002,10.8,18.7,17.9,1275
Barbados,234124,40.8,46.1,35.5,1517
Sierra Leone,232375,1.5,2.4,0.5,805
Benin,226269,1.0,1.3,0.2,1696
Gambia,207195,4.4,7.8,7.1,357
Central African Republic,187160,2.0,3.0,0.2,212
Curaçao,186793,57.3,60.0,54.6,231
Bahamas,184461,24.2,30.0,18.4,411
Gabon,180320,4.3,4.9,3.8,1283
Papua New Guinea,164776,1.0,1.4,0.5,2517
Aruba,155660,69.5,72.5,66.5,146
Jersey,150891,–,–,–,80
Samoa,149431,37.2,49.3,25.0,981
Seychelles,148402,77.3,80.5,74.1,154
Chad,142548,0.4,0.7,0.2,2785
DR Congo,134945,0.1,0.1,0.1,637
Isle of Man,129302,76.1,77.0,75.1,232
Cayman Islands,109789,84.5,84.4,84.4,1251
South Sudan,103751,0.4,0.6,0.2,1102
Greenland,102357,89.8,124.5,64.3,300
Guernsey,101898,–,–,–,45
Solomon Islands,97744,7.6,11.6,3.6,2902
Guinea-Bissau,94715,2.7,4.9,0.4,3807
Andorra,93430,60.7,67.0,54.3,98
Bermuda,86676,68.8,69.6,68.0,60
Antigua and Barbuda,86542,44.6,49.4,38.0,749
Sao Tome and Principe,82679,19.4,28.4,8.5,2448
Gibraltar,79502,116.9,117.4,116.4,28
St. Lucia,75827,21.1,24.9,17.2,583
Faroe Islands,73959,75.5,77.5,73.5,86
Tonga,73603,36.8,46.1,27.5,274
Micronesia,72085,34.7,41.6,–,297
Djibouti,67229,3.1,3.8,2.4,174
Haiti,64799,0.3,0.4,0.2,588
Grenada,55663,25.5,30.4,20.7,579
Turks & Caicos,52374,68.9,72.2,65.6,77
Monaco,49980,64.1,68.4,59.8,120
Sint Maarten,49310,58.7,61.2,56.2,22
Saint Kitts and Nevis,47098,41.3,44.2,38.5,31
San Marino,47088,69.2,71.8,71.8,11
Dominica,44624,31.4,33.3,29.6,82
Turkmenistan,41993,0.4,0.6,0.2,–
St. Vincent and the Grenadines,33077,15.0,18.2,11.9,113
Anguilla,18584,61.9,63.3,60.6,2
Nauru,14863,57.2,58.6,55.8,4
St. Helena,7892,65.8,72.7,58.9,8
Falkland Islands,4407,73.5,87.7,59.2,202
Montserrat,2871,28.7,29.7,27.8,2
Eritrea,–,–,–,–,–
