Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
Global Total,6139490122,–,–,–,29402426
Mainland China,2197689000,78.5,78.6,73.0,3378000
India,860066590,31.4,46.0,16.3,7379929
EU,562247469,63.3,67.2,64.5,1022301
U.S.,390114328,60.9,64.3,55.3,703352
Brazil,231844536,56.2,70.9,41.0,1360269
Japan,156559895,62.0,68.0,56.1,949612
Indonesia,135418535,25.4,32.0,18.0,1709109
Turkey,107877200,64.9,64.3,52.4,394652
Germany,106863393,64.3,67.7,63.9,223714
Mexico,98895325,38.8,49.6,34.7,517704
France,93817818,72.4,77.2,74.0,321862
U.K.,93461887,70.0,72.9,67.0,69770
England,78354367,69.6,72.6,66.6,56803
London,11194914,62.5,65.5,59.4,10302
Scotland,8003942,73.3,76.5,70.1,5988
Wales,4589226,72.8,75.2,70.4,7092
Northern Ireland,2514352,66.4,69.2,63.6,1250
Russia,89453699,30.5,32.4,28.4,234726
Italy,83966629,69.6,74.3,74.3,226956
Pakistan,76141484,18.6,27.5,12.5,662015
Spain,69740837,75.0,80.8,78.2,97800
South Korea,61278670,59.3,73.6,44.9,371964
Canada,55811509,74.4,76.2,70.6,107307
Ontario,21651850,74.6,76.4,70.9,37743
Quebec,13015984,76.7,78.1,74.1,13959
British Columbia,7771314,76.5,78.9,72.2,11336
Alberta,5963532,68.5,70.3,62.9,28707
Manitoba,1968715,72.0,74.1,69.5,2188
Saskatchewan,1546180,66.0,67.5,60.7,3728
Nova Scotia,1496634,77.3,79.7,73.7,2545
New Brunswick,1155893,74.5,76.8,69.6,2967
Newfoundland and Labrador,809042,77.2,80.8,72.9,1310
Prince Edward Island,251706,80.3,83.2,76.3,940
Northwest Territories,68757,76.2,66.2,61.9,80
Yukon,66097,80.1,79.0,75.2,42
Nunavut,45805,59.4,63.0,55.3,57
Argentina,50864376,56.6,65.5,47.5,263830
Thailand,46023016,33.1,42.4,22.8,494116
Iran,43372270,26.0,35.5,16.8,1368407
Philippines,43088582,20.1,23.5,18.3,404482
Malaysia,42375862,65.0,69.7,59.8,285829
Saudi Arabia,41641659,61.1,68.3,53.9,107547
Bangladesh,40317634,12.1,14.5,9.7,497835
Morocco,39523919,55.5,60.6,50.4,353606
Colombia,39455509,39.2,50.9,32.6,160552
Vietnam,37583248,19.5,31.1,7.8,575413
Poland,37147012,48.9,52.0,51.0,28554
Chile,31502173,82.4,78.4,73.8,102355
Australia,26660961,52.2,62.4,41.2,291641
Sri Lanka,25961797,59.5,65.6,52.8,165400
Peru,25425116,38.3,46.1,30.5,267381
Cambodia,23538405,71.4,78.5,65.3,251805
Netherlands,23440062,68.0,70.3,63.6,18797
Ecuador,20571335,59.6,64.2,57.0,16381
Cuba,19991460,88.2,78.4,42.9,317884
UAE,19856161,92.4,85.8,76.0,58613
Uzbekistan,18526941,27.9,29.4,11.1,155946
Ukraine,17699276,21.2,29.3,13.1,162933
South Africa,16827790,16.1,20.6,14.2,119345
Belgium,16572780,72.3,74.7,72.9,22579
Portugal,15904393,77.4,86.8,83.7,36028
Israel,14929278,82.5,67.3,62.1,28170
Taiwan,14142461,30.0,51.2,8.8,171177
Venezuela,14050000,25.3,31.6,18.9,246316
Kazakhstan,13901899,37.3,40.2,34.2,62955
Egypt,13808798,7.0,8.8,5.1,268764
Sweden,13607052,65.9,69.0,62.8,33542
Nepal,12645634,22.2,22.9,21.1,123351
Greece,12041797,56.1,59.8,56.5,23088
Dominican Republic,11793493,56.9,58.2,54.3,22970
Czech Republic,11776936,55.3,57.0,55.7,9198
Hungary,11167215,57.1,60.1,57.5,5617
Austria,10790751,60.9,64.4,60.8,10421
Switzerland,10266591,60.1,63.7,54.9,33443
Liechtenstein,46380,–,–,–,215
Romania,10043006,25.9,27.9,27.4,19873
Algeria,9989662,11.5,13.4,9.6,284237
Singapore,9256975,81.1,82.0,80.1,21746
Myanmar,9001616,8.5,10.5,6.6,163440
Denmark,8808069,75.9,76.7,75.0,4889
Hong Kong,8574116,57.0,59.3,54.7,27719
Azerbaijan,8293590,41.5,47.1,36.0,53402
Norway,7728245,72.1,77.0,67.3,27277
Finland,7516670,68.1,74.8,61.5,20313
Iraq,7448300,9.5,11.7,7.3,110874
Tunisia,7384667,31.3,40.4,28.8,47554
El Salvador,7297994,56.5,62.1,51.0,43216
Ireland,7186369,72.6,76.0,73.9,9531
Jordan,6920178,34.4,36.4,32.1,16439
Guatemala,6653056,18.9,24.7,12.8,76427
Bolivia,6646806,28.8,36.4,26.7,36349
Serbia,6392974,45.9,43.4,41.4,19796
Nigeria,6255025,1.6,2.2,0.9,35152
Uruguay,6162074,87.6,77.5,72.8,19504
Costa Rica,5278407,52.0,64.5,39.5,58046
Panama,5252959,62.3,69.1,55.6,199326
Zimbabwe,5218672,17.5,20.3,14.7,31506
Honduras,5196072,26.6,32.8,20.4,46577
New Zealand,4917531,49.9,64.8,35.0,50751
Slovakia,4752581,43.6,44.6,41.1,5873
Qatar,4692503,83.9,84.4,79.4,4891
Oman,4636486,55.3,67.0,43.5,74904
Mongolia,4545348,68.9,68.2,64.5,16573
Paraguay,4488153,31.4,36.7,26.1,9687
Laos,4402770,30.7,39.1,26.7,9906
Tajikistan,3872421,20.8,24.8,16.8,70941
Mozambique,3644423,5.8,6.1,5.6,54234
Kenya,3613357,3.8,5.6,1.9,37464
Ethiopia,3493470,1.8,2.8,0.8,59558
Rwanda,3409470,13.7,15.9,11.6,31159
Croatia,3404014,41.8,44.3,41.6,6633
Belarus,3389520,17.9,19.8,16.0,26145
Lithuania,3339375,60.0,61.8,58.2,18337
Afghanistan,3133227,4.2,2.6,1.2,658873
Lebanon,2929966,21.4,23.5,19.3,28922
Angola,2820134,4.7,6.1,3.3,50114
Bahrain,2553691,86.0,78.4,74.9,2542
Bulgaria,2508560,18.0,17.3,18.8,6413
Kuwait,2380000,25.1,56.2,19.4,12990
Slovenia,2103674,51.9,53.9,47.8,7002
Uganda,2058553,2.6,4.1,1.0,90201
Ivory Coast,1903064,3.6,5.4,1.3,28114
Senegal,1784832,5.5,7.6,3.5,2395
Georgia,1729672,23.2,26.0,20.5,12792
Albania,1693555,29.5,32.5,26.5,7044
Ghana,1643172,2.7,2.9,2.5,6409
Mauritius,1633952,64.5,66.8,62.2,1155
Latvia,1596487,41.6,46.6,42.5,2810
Guinea,1554669,5.7,7.8,3.6,37929
Libya,1501622,11.4,20.3,2.5,13184
Sudan,1499982,1.7,1.5,1.3,19164
North Macedonia,1482287,35.6,37.4,33.9,7431
Kyrgyzstan,1401008,11.0,12.6,9.3,10001
Moldova,1383749,25.8,22.9,28.7,3365
Estonia,1357907,51.2,56.9,45.3,3538
Kosovo,1241949,34.5,42.1,26.9,15719
Cyprus,1146345,65.4,67.7,62.5,2338
Bhutan,1068414,71.7,77.1,66.3,3185
Malawi,1061153,2.6,3.8,2.4,10207
Bosnia and Herzegovina,1060145,16.1,19.2,12.9,7334
Trinidad and Tobago,1041836,37.3,40.6,34.1,3747
Fiji,975268,54.5,65.7,43.3,9017
Mauritania,876371,10.8,7.8,0.5,2014
Togo,832822,5.2,5.5,4.8,12920
Malta,816727,82.7,85.1,85.0,718
Nicaragua,788502,6.0,7.7,4.4,2155
Luxembourg,781851,63.7,67.5,65.1,441
Maldives,724971,97.4,105.2,89.7,1005
Jamaica,715860,13.1,19.0,8.1,1565
Zambia,699210,1.9,1.8,1.6,7301
Timor-Leste,675891,26.1,32.8,19.4,4226
Macau,649564,47.8,51.2,44.6,4123
Niger,621853,1.3,1.7,0.4,9294
Botswana,606699,12.8,17.2,9.5,2729
Iceland,551110,77.2,78.8,77.2,868
Syria,533949,–,–,–,23498
Guyana,533843,34.0,44.8,23.2,2973
Cameroon,459397,0.9,1.5,0.3,2177
Montenegro,447473,35.9,38.3,33.6,1944
Brunei,432882,47.1,57.2,36.9,7116
Somalia,430762,1.4,1.7,1.2,12993
Namibia,407502,8.3,10.1,6.5,4761
Cape Verde,402075,36.6,51.3,21.8,5019
Mali,397853,1.0,1.6,0.5,1042
Suriname,391985,32.8,37.6,28.0,2086
Tanzania,389807,0.3,–,–,5687
Equatorial Guinea,387510,14.2,16.4,12.1,2406
Madagascar,381633,0.7,0.7,0.7,7039
Armenia,366779,6.2,8.0,4.4,4437
Comoros,336863,19.3,20.0,18.5,249
Lesotho,332954,8.1,12.2,11.7,6246
Republic of the Congo,329905,3.6,4.7,2.5,1525
Yemen,322934,0.5,1.0,0.1,244
Belize,298343,36.6,45.9,27.2,3113
Burkina Faso,254545,0.6,1.2,0.8,8839
Liberia,248645,2.7,2.3,0.6,9851
Eswatini,239551,10.7,18.5,17.9,2845
Barbados,230848,40.2,45.3,35.1,1448
