Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
Global Total,6108294456,–,–,–,27910990
Mainland China,2194467000,78.4,78.6,73.0,3492857
India,850372903,31.1,45.9,16.1,6606497
EU,561389396,63.2,67.1,64.4,934756
U.S.,388567109,60.7,64.1,55.1,683446
Brazil,229179603,55.5,70.7,40.6,1226086
Japan,156559895,62.0,68.0,56.1,951760
Indonesia,131352847,24.6,31.9,17.9,1432837
Turkey,107436013,64.6,64.1,52.1,430716
Germany,106623426,64.2,67.6,63.8,212828
Mexico,98282544,38.5,49.5,34.3,489211
France,93817818,72.4,77.2,74.0,208586
U.K.,93350658,69.9,72.9,66.8,74497
England,78232278,69.5,72.5,66.5,60945
London,11173021,62.3,65.4,59.3,10869
Scotland,7988460,73.1,76.3,69.9,5503
Wales,4617819,73.2,76.2,70.2,6411
Northern Ireland,2512101,66.3,69.1,63.6,1217
Russia,89194607,30.4,32.3,28.3,208283
Italy,83599313,69.3,74.1,74.0,232562
Pakistan,76141484,18.6,27.5,12.5,637049
Spain,69740837,75.0,80.8,78.2,95055
South Korea,60747624,58.7,71.8,43.7,308173
Canada,55696453,74.2,76.2,70.6,98950
Ontario,21566334,74.3,76.4,70.9,29808
Quebec,12995354,76.5,78.1,74.1,14164
British Columbia,7771314,76.5,78.9,72.2,12002
Alberta,5963532,68.5,70.3,62.9,26916
Manitoba,1968715,72.0,74.1,69.5,2130
Saskatchewan,1537270,65.6,67.5,60.7,3825
Nova Scotia,1496634,77.3,79.7,73.7,2400
New Brunswick,1155893,74.5,76.8,69.6,2699
Newfoundland and Labrador,809042,77.2,80.8,72.9,1112
Prince Edward Island,251706,80.3,83.2,76.3,758
Northwest Territories,68757,76.2,66.2,61.9,80
Yukon,66097,80.1,79.0,75.2,38
Nunavut,45805,59.4,63.0,55.3,57
Argentina,50575922,56.3,65.2,46.8,249388
Thailand,46023016,33.1,42.4,22.8,484301
Iran,43372270,26.0,35.5,16.8,1422950
Philippines,43088582,20.1,23.5,21.8,385793
Malaysia,41847256,64.2,69.4,59.4,280665
Saudi Arabia,41412468,60.8,68.1,53.4,101777
Morocco,39523919,55.5,60.6,50.4,344587
Bangladesh,39118015,11.7,14.1,9.4,574718
Colombia,39057913,38.8,50.7,32.5,153367
Poland,37104651,48.9,52.0,50.9,30589
Vietnam,36793910,19.1,30.6,7.5,632430
Chile,31345528,82.0,78.0,73.7,80884
Australia,26441588,51.8,61.8,40.6,292736
Sri Lanka,25589878,58.7,65.1,52.3,164450
Peru,24840581,37.5,45.2,29.4,240250
Cambodia,23538405,71.4,78.5,65.3,249400
Netherlands,23440062,68.0,70.3,63.6,18230
Ecuador,20532260,59.5,64.0,56.9,10798
UAE,19775346,92.0,85.6,75.7,60659
Cuba,19392280,85.6,76.9,41.7,316012
Uzbekistan,18526941,27.9,29.4,11.1,155946
Ukraine,17335944,20.8,28.7,12.8,152848
South Africa,16781838,16.0,20.6,14.2,119748
Belgium,16572780,72.3,74.7,72.9,20614
Portugal,15904393,77.4,86.8,83.7,42119
Israel,14840773,82.0,67.2,61.9,24702
Taiwan,14142461,30.0,51.2,8.8,138660
Venezuela,14050000,25.3,31.6,18.9,246316
Kazakhstan,13853000,37.2,40.0,34.0,60727
Egypt,13808798,7.0,8.8,5.1,256045
Sweden,13607052,65.9,69.0,62.8,31341
Nepal,12154018,21.4,22.4,20.9,95710
Greece,12011414,56.0,59.8,56.2,22855
Dominican Republic,11774063,56.8,58.2,54.3,26551
Czech Republic,11773801,55.3,57.0,55.7,9272
Hungary,11167215,57.1,60.1,57.5,5617
Austria,10759454,60.7,64.2,60.6,8167
Switzerland,10266591,60.1,63.7,54.9,31821
Liechtenstein,46380,–,–,–,221
Romania,10006305,25.8,27.9,27.3,11360
Algeria,9989662,11.5,13.4,9.6,284237
Singapore,9223226,80.8,81.9,80.0,18356
Myanmar,9001616,8.5,10.5,6.6,163440
Denmark,8800485,75.8,76.6,75.0,5137
Hong Kong,8511199,56.6,59.1,54.1,27415
Azerbaijan,8227729,41.2,46.9,35.5,52103
Norway,7728245,72.1,77.0,67.3,23747
Finland,7469028,67.7,74.6,60.7,19882
Iraq,7448300,9.5,11.7,7.3,110874
Tunisia,7384667,31.3,40.4,28.8,47013
El Salvador,7297994,56.5,62.1,51.0,38185
Ireland,7167675,72.4,76.0,73.6,10281
Jordan,6886546,34.2,36.4,32.0,14845
Bolivia,6636967,28.7,36.4,26.7,36330
Guatemala,6511719,18.5,24.4,12.5,63061
Serbia,6371972,45.7,43.3,41.3,19181
Nigeria,6255025,1.6,2.2,0.9,47510
Uruguay,6160990,87.5,77.5,72.8,20484
Costa Rica,5278407,52.0,64.5,39.5,58046
Panama,5252959,62.3,69.1,55.6,171433
Zimbabwe,5197363,17.4,20.3,14.6,30878
Honduras,5196072,26.6,32.8,20.4,46577
New Zealand,4917531,49.9,64.8,35.0,53804
Slovakia,4742589,43.5,44.6,41.1,5766
Qatar,4686559,83.8,84.4,79.4,5490
Oman,4636486,55.3,67.0,43.5,74904
Mongolia,4545348,68.9,68.2,64.5,16573
Paraguay,4477723,31.3,36.6,26.0,9563
Laos,4402770,30.7,39.1,26.7,9906
Tajikistan,3872421,20.8,24.8,16.8,70941
Mozambique,3644423,5.8,6.1,5.6,54234
Kenya,3554424,3.7,5.6,1.9,37586
Ethiopia,3493470,1.8,2.8,0.8,65503
Rwanda,3409470,13.7,15.9,11.6,45063
Croatia,3397030,41.8,44.2,41.5,6378
Belarus,3389520,17.9,19.8,16.0,26145
Lithuania,3339375,60.0,61.8,58.2,15535
Afghanistan,3133227,4.2,2.6,1.2,552467
Lebanon,2929966,21.4,23.5,19.3,28922
Angola,2820134,4.7,6.1,3.3,50114
Bahrain,2545834,85.8,78.4,74.7,1822
Bulgaria,2504582,18.0,17.3,18.8,7517
Kuwait,2380000,25.1,56.2,19.4,12990
Slovenia,2101290,51.8,53.9,47.8,7715
Uganda,2058553,2.6,4.1,1.0,79469
Ivory Coast,1903064,3.6,5.4,1.3,26199
Senegal,1784832,5.5,7.6,3.5,2395
Georgia,1715073,23.0,25.9,20.2,14862
Albania,1683644,29.3,32.4,26.3,7797
Ghana,1643172,2.7,2.9,2.5,6287
Mauritius,1633952,64.5,66.8,62.2,1155
Latvia,1596487,41.6,46.6,42.5,2729
Guinea,1554669,5.7,7.8,3.6,30891
