Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
Norway,7757255,72.4,77.2,67.6,17426
Finland,7523959,68.2,74.8,61.6,20879
Iraq,7448300,9.5,11.7,7.3,110874
Tunisia,7425277,31.5,40.5,29.0,36864
El Salvador,7396969,57.3,62.8,51.6,32549
Ireland,7200652,72.7,76.1,74.1,9025
Jordan,6960192,34.6,36.6,32.3,16091
Guatemala,6757605,19.2,24.9,13.1,73439
Bolivia,6700654,29.0,36.8,28.2,33238
Nigeria,6552979,1.6,2.3,0.9,59719
Serbia,6409263,46.0,43.4,41.4,15790
Uruguay,6214949,88.3,77.7,72.9,20806
Panama,5367816,63.6,69.7,57.5,16408
Costa Rica,5278479,52.0,64.5,39.5,12
Zimbabwe,5263782,17.7,20.5,14.8,31282
Honduras,5196072,26.6,32.8,20.4,46577
New Zealand,5087231,51.6,66.0,37.2,38574
Oman,4946987,59.0,69.1,48.9,38813
Slovakia,4762272,43.7,44.8,41.3,6412
Qatar,4702517,84.1,84.4,79.4,4415
Mongolia,4545348,68.9,68.3,64.5,16573
Paraguay,4488153,31.4,36.7,26.1,9935
Laos,4402770,30.7,39.1,26.7,9906
Tajikistan,3872421,20.8,24.8,16.8,70941
Rwanda,3740279,15.1,16.9,13.2,54654
Mozambique,3644423,5.8,6.1,5.6,54234
Kenya,3613357,3.8,5.7,1.9,30756
Ethiopia,3535329,1.8,2.9,0.8,50195
Croatia,3413174,42.0,44.5,41.7,6307
Belarus,3389520,17.9,19.8,16.0,26145
Lithuania,3199916,57.5,62.5,57.7,21363
Angola,3134137,5.2,7.1,3.3,44858
Afghanistan,3133227,4.2,2.6,1.2,765279
Lebanon,2929966,21.4,23.5,19.3,28922
Bahrain,2568320,86.5,78.4,75.0,3999
Bulgaria,2521738,18.1,17.3,19.0,5780
Kuwait,2380000,25.1,56.2,19.4,12990
Slovenia,2113404,52.1,54.1,48.1,6460
Uganda,2058553,2.6,4.1,1.0,90201
Ivory Coast,1968171,3.7,5.6,1.4,33239
Senegal,1784832,5.5,7.6,3.5,2395
Georgia,1760878,23.6,26.2,21.1,12798
Albania,1715133,29.9,32.7,27.0,8220
Guinea,1699898,6.2,8.5,3.9,41480
Ghana,1653422,2.7,2.9,2.5,3330
Sudan,1650828,1.9,1.5,1.3,21549
Mauritius,1633952,64.5,66.8,62.2,1155
Latvia,1621953,42.2,47.4,43.5,4283
Libya,1546967,11.8,20.7,2.8,11651
North Macedonia,1495762,36.0,37.6,34.3,5856
Kyrgyzstan,1422970,11.1,12.7,9.5,10359
Moldova,1392707,26.0,22.9,29.0,3561
Estonia,1361564,51.4,57.0,45.7,3361
Kosovo,1283840,35.7,43.3,28.1,15384
Cyprus,1147010,65.5,67.9,63.1,1090
Malawi,1087426,2.7,3.9,2.4,7915
Bhutan,1068414,71.7,77.1,66.3,3185
Bosnia and Herzegovina,1060145,16.1,19.2,12.9,7334
Trinidad and Tobago,1047111,37.5,41.5,34.4,3453
Togo,997632,6.2,7.4,5.0,23544
Fiji,975268,54.5,65.7,43.3,9017
Mauritania,890122,11.0,7.9,0.5,2813
Malta,818593,82.9,85.1,85.1,824
Nicaragua,788502,6.0,7.7,4.4,2155
Luxembourg,784482,63.9,68.1,65.1,592
Jamaica,743184,13.6,19.3,8.9,4756
Maldives,727664,97.8,105.3,90.3,759
Zambia,711264,1.9,1.8,2.1,6903
Timor-Leste,675891,26.1,32.8,19.4,3941
Macau,649564,47.8,51.2,44.6,4123
Niger,621853,1.3,1.7,0.4,9294
Botswana,606699,12.8,17.2,9.5,2729
Iceland,551110,77.2,78.8,77.2,1103
Guyana,538748,34.3,45.2,23.4,2082
Syria,533949,–,–,–,23498
Somalia,464359,1.5,1.7,1.4,9868
Cameroon,461201,0.9,1.5,0.3,995
Montenegro,452830,36.3,38.6,33.7,2132
Brunei,443676,48.2,58.7,37.8,5261
Madagascar,417648,0.8,0.7,0.7,5145
Cape Verde,414300,37.7,51.7,23.7,3741
Armenia,408535,6.9,8.9,4.8,5965
Namibia,407502,8.3,10.5,6.5,4761
Mali,405053,1.1,1.7,1.2,1460
Suriname,394029,33.0,37.8,28.2,2208
Tanzania,389807,0.3,–,–,5687
Equatorial Guinea,387510,14.2,16.4,12.1,2838
Comoros,336863,19.3,20.0,18.5,249
Lesotho,332954,8.1,12.2,11.7,6246
Republic of the Congo,329905,3.6,4.7,2.5,1525
Yemen,322934,0.5,1.0,0.1,244
Belize,304218,37.3,47.6,28.2,2922
Liberia,284246,3.1,2.3,0.6,9467
Burkina Faso,254545,0.6,1.2,0.8,8839
Eswatini,240002,10.8,18.7,18.1,888
Barbados,234124,40.8,46.1,35.5,1684
Sierra Leone,232375,1.5,2.4,0.5,805
Benin,226269,1.0,1.3,0.2,1696
Gambia,207195,4.4,7.8,7.3,357
Central African Republic,187160,2.0,3.0,0.2,212
Curaçao,186793,57.3,60.0,54.6,276
Bahamas,184461,24.2,30.0,18.4,210
Gabon,180320,4.3,4.9,3.8,1099
Papua New Guinea,164776,1.0,1.4,0.5,2517
Aruba,155753,69.5,72.5,66.6,150
Jersey,150891,–,–,–,80
Samoa,149431,37.2,49.3,25.0,981
Seychelles,148402,77.3,80.5,74.1,154
Chad,142548,0.4,0.7,0.2,2785
DR Congo,134945,0.1,0.1,0.1,432
Isle of Man,129318,76.1,77.0,75.1,30
Cayman Islands,110096,84.7,84.7,84.7,685
South Sudan,103751,0.4,0.6,0.2,996
Greenland,102357,89.8,124.5,64.5,300
Guernsey,101898,–,–,–,45
Solomon Islands,97744,7.6,11.6,3.6,2902
Andorra,95918,62.3,68.7,55.9,113
Guinea-Bissau,94715,2.7,4.9,0.4,3807
Antigua and Barbuda,89252,46.0,50.1,41.9,1048
Bermuda,86676,68.8,69.6,68.0,60
Sao Tome and Principe,82679,19.4,28.4,10.4,2420
Gibraltar,79502,116.9,117.4,116.4,30
St. Lucia,76224,21.2,25.0,17.3,495
Faroe Islands,74129,75.6,77.7,73.6,104
Tonga,73603,36.8,46.1,27.5,274
Micronesia,72085,34.7,41.6,–,266
Djibouti,67229,3.1,3.8,2.4,174
Haiti,64799,0.3,0.4,0.2,663
Grenada,55663,25.5,30.4,20.7,579
Turks & Caicos,52374,68.9,72.2,65.6,77
Monaco,49980,64.1,68.4,59.8,120
Sint Maarten,49310,58.7,61.2,56.2,22
Saint Kitts and Nevis,47098,41.3,44.2,38.5,31
San Marino,47088,69.2,71.8,71.8,9
Dominica,44624,31.4,33.3,29.6,82
Turkmenistan,41993,0.4,0.6,0.2,–
St. Vincent and the Grenadines,33077,15.0,18.2,11.9,113
Anguilla,18584,61.9,63.3,60.6,2
Nauru,14863,57.2,58.6,55.8,4
St. Helena,7892,65.8,72.7,58.9,8
Falkland Islands,4407,73.5,87.7,59.2,202
Montserrat,2871,28.7,29.7,27.8,2
Eritrea,–,–,–,–,–
