Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
Belarus,3389520,17.9,19.8,16,26145
Lithuania,3339375,60,61.8,58.2,15535
Afghanistan,3133227,4.2,2.6,1.2,552467
Lebanon,2929966,21.4,23.5,19.3,28922
Angola,2820134,4.7,6.1,3.3,50114
Bahrain,2549298,85.9,78.4,74.8,2029
Bulgaria,2507048,18,17.3,18.8,6440
Kuwait,2380000,25.1,56.2,19.4,12990
Slovenia,2102314,51.9,53.9,47.8,7861
Uganda,2058553,2.6,4.1,1,79469
Ivory Coast,1903064,3.6,5.4,1.3,26199
Senegal,1784832,5.5,7.6,3.5,2395
Georgia,1715073,23,25.9,20.2,14862
Albania,1683644,29.3,32.4,26.3,7797
Ghana,1643172,2.7,2.9,2.5,6287
Mauritius,1633952,64.5,66.8,62.2,1155
Latvia,1596487,41.6,46.6,42.5,2729
Guinea,1554669,5.7,7.8,3.6,30891
Libya,1501622,11.4,20.3,2.5,13928
Sudan,1499982,1.7,1.5,1.3,19164
North Macedonia,1482287,35.6,37.4,33.9,7065
Kyrgyzstan,1398986,10.9,12.6,9.3,10258
Moldova,1381402,25.8,22.8,28.7,3870
Estonia,1354438,51.1,56.8,45.1,3470
Kosovo,1241949,34.5,42.1,26.9,16129
Cyprus,1146345,65.4,67.7,62.5,2360
Bhutan,1068414,71.7,77.1,66.3,3185
Malawi,1061153,2.6,3.8,2.4,9131
Bosnia and Herzegovina,1060145,16.1,19.2,12.9,7334
Trinidad and Tobago,1041836,37.3,40.6,34.1,3478
Fiji,975268,54.5,65.7,43.3,9017
Mauritania,876371,10.8,7.8,0.5,2775
Togo,832822,5.2,5.5,4.8,12920
Malta,816136,82.6,85,85,708
Luxembourg,781851,63.7,67.5,65.1,355
Nicaragua,769105,5.9,7.5,4.3,6771
Maldives,724971,97.4,105.2,89.7,902
Jamaica,715860,13.1,19,8.1,1624
Zambia,697261,1.9,1.8,1.6,16351
Timor-Leste,675891,26.1,32.8,19.4,4368
Macau,649564,47.8,51.2,44.6,4123
Niger,621853,1.3,1.7,0.4,9294
Botswana,606699,12.8,17.2,9.5,2729
Iceland,551110,77.2,78.8,77.2,750
Syria,533949,–,–,–,23498
Guyana,533843,34,44.8,23.2,2597
Cameroon,459397,0.9,1.5,0.3,2000
Montenegro,446806,35.9,38,33.5,1934
Brunei,432882,47.1,57.2,36.9,6583
Somalia,430762,1.4,1.7,1.2,12445
Namibia,407502,8.3,10.1,6.5,4761
Cape Verde,402075,36.6,51.3,21.8,4586
Mali,397853,1,1.6,0.5,1476
Suriname,390681,32.7,37.5,27.9,2011
Tanzania,389807,0.3,–,–,5687
Equatorial Guinea,387510,14.2,16.4,12.1,2190
Madagascar,381633,0.7,0.7,0.7,7039
Armenia,366779,6.2,8,4.4,4437
Comoros,336863,19.3,20,18.5,249
Lesotho,332954,8.1,12.2,11.7,6246
Republic of the Congo,329905,3.6,4.7,2.5,1525
Yemen,322934,0.5,1,0.1,244
Belize,298343,36.6,45.9,27.2,2839
Burkina Faso,254545,0.6,1.2,0.8,8839
Liberia,248645,2.7,2.3,0.6,8818
Eswatini,239551,10.7,18.5,17.9,2866
Barbados,230848,40.2,45.3,35.1,1288
Sierra Leone,221110,1.4,2.3,0.5,2296
Benin,214396,0.9,1.3,0.2,5496
Gambia,201835,4.3,8.4,7.1,4278
Curaçao,186258,57.1,59.8,54.4,118
Central African Republic,185678,2,3,0.2,7109
Bahamas,184461,24.2,30,18.4,812
Gabon,177392,4.3,4.9,3.7,1949
Papua New Guinea,164776,1,1.4,0.5,2517
Aruba,155501,69.4,72.4,66.5,141
Jersey,150891,–,–,–,77
Samoa,149431,37.2,49.3,25,981
Seychelles,148402,77.3,80.5,74.1,154
DR Congo,134860,0.1,0.1,0.1,1468
Isle of Man,129989,76.5,77,75.1,153
Chad,123052,0.4,0.6,0.2,4586
Cayman Islands,109789,84.5,84.4,84.4,715
Greenland,102357,89.8,124.5,64.3,300
Guernsey,101759,–,–,–,40
South Sudan,100621,0.4,0.5,0.2,2272
Solomon Islands,97744,7.6,11.6,3.6,2902
Guinea-Bissau,94715,2.7,4.9,0.4,3252
Andorra,93430,60.7,67,54.3,98
Bermuda,86676,68.8,69.6,68,60
Antigua and Barbuda,81915,42.2,46.5,38,572
Gibraltar,79335,116.7,117.3,116.1,14
St. Lucia,74999,20.8,24.7,16.9,437
Faroe Islands,73872,75.4,77.3,73.4,122
Tonga,73603,36.8,46.1,27.5,274
Sao Tome and Principe,73223,17.2,25.8,8.5,2171
Micronesia,71686,34.5,41.6,–,294
Djibouti,67229,3.1,3.8,2.4,174
Haiti,61545,0.3,0.4,0.2,523
Turks & Caicos,52374,68.9,72.2,65.6,77
Grenada,51610,23.7,28.2,19.1,496
Monaco,49980,64.1,68.4,59.8,120
Sint Maarten,49159,58.5,61.1,55.9,40
Saint Kitts and Nevis,47098,41.3,44.2,38.5,31
San Marino,47084,69.2,71.8,71.8,16
Dominica,44624,31.4,33.3,29.6,82
Turkmenistan,41993,0.4,0.6,0.2,–
St. Vincent and the Grenadines,33077,15,18.2,11.9,104
Anguilla,18584,61.9,63.3,60.6,2
Nauru,14863,57.2,58.6,55.8,4
St. Helena,7892,65.8,72.7,58.9,8
Falkland Islands,4407,73.5,87.7,59.2,202
Montserrat,2856,28.6,29.4,27.7,2
Eritrea,–,–,–,–,–
